                                                                                        Step 
variable                                                                                   0     1     2 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_0           true  true  true 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_1          false false false 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_2           true  true  true 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_3          false false false 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_4          false false false 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_5           true false false 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_1_0          false false false 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_1_1           true  true  true 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_2_0           true  true  true 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.level_1_1_hole_7           19    19    19 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.level_1_hole_6             10    10    10 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.level_2_hole_8              5     5     5 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.out                      true  true  true 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_0_0                 3     3     3 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_1_1                 4     4     4 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_2_2                 3     3     3 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_3_3                37    37    37 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_4_4                41    41    41 
Check_spec~3.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_5_5                 5     5     5 
Check_spec~3.T_node~0.level_1_1_hole_7                                                    19    19    19 
Check_spec~3.T_node~0.level_1_hole_6                                                      10    10    10 
Check_spec~3.T_node~0.level_2_hole_8                                                       5     5     5 
Check_spec~3.T_node~0.out                                                              false false false 
Check_spec~3.T_node~0.p1                                                                true  true  true 
Check_spec~3.T_node~0.threshold                                                            0     0     0 
Check_spec~3.T_node~0.valhole_0_0                                                          3     3     3 
Check_spec~3.T_node~0.valhole_1_1                                                          4     4     4 
Check_spec~3.T_node~0.valhole_2_2                                                          3     3     3 
Check_spec~3.T_node~0.valhole_3_3                                                         37    37    37 
Check_spec~3.T_node~0.valhole_4_4                                                         41    41    41 
Check_spec~3.T_node~0.valhole_5_5                                                          5     5     5 
Check_spec~3.a                                                                          true  true  true 
Check_spec~3.b                                                                         false false false 
Check_spec~3.c                                                                          true false false 
Check_spec~3.k                                                                             1     1     1 
Check_spec~3.level_1_1_hole_7                                                             19    19    19 
Check_spec~3.level_1_hole_6                                                               10    10    10 
Check_spec~3.level_2_hole_8                                                                5     5     5 
Check_spec~3.out                                                                       false false false 
Check_spec~3.p1                                                                        false  true  true 
Check_spec~3.step                                                                          0     1     2 
Check_spec~3.stepOK                                                                     true  true  true 
Check_spec~3.threshold                                                                     0     0     0 
Check_spec~3.valhole_0_0                                                                   3     3     3 
Check_spec~3.valhole_1_1                                                                   4     4     4 
Check_spec~3.valhole_2_2                                                                   3     3     3 
Check_spec~3.valhole_3_3                                                                  37    37    37 
Check_spec~3.valhole_4_4                                                                  41    41    41 
Check_spec~3.valhole_5_5                                                                   5     5     5 
Check_spec~4.H_discovery~0.in                                                           true  true  true 
Check_spec~4.H_discovery~0.out                                                          true  true  true 
Check_spec~4.T_node~0.a                                                                 true false false 
Check_spec~4.T_node~0.b                                                                false  true  true 
Check_spec~4.T_node~0.c                                                                 true  true  true 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.a0                       true false false 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.a1                      false  true  true 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.a2                       true  true  true 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.a3                      false  true  true 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_0           true false false 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_1          false  true  true 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_2           true false false 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_3          false  true  true 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_4          false  true  true 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_5           true  true  true 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_1_0          false false false 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_1_1           true  true  true 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_2_0           true  true  true 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.level_1_1_hole_7           19    19    19 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.level_1_hole_6             10    10    10 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.level_2_hole_8              5     5     5 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.out                      true  true  true 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_0_0                 3     3     3 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_1_1                 4     4     4 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_2_2                 3     3     3 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_3_3                37    37    37 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_4_4                41    41    41 
Check_spec~4.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_5_5                 5     5     5 
Check_spec~4.T_node~0.level_1_1_hole_7                                                    19    19    19 
Check_spec~4.T_node~0.level_1_hole_6                                                      10    10    10 
Check_spec~4.T_node~0.level_2_hole_8                                                       5     5     5 
Check_spec~4.T_node~0.out                                                              false  true  true 
Check_spec~4.T_node~0.p1                                                                true  true  true 
Check_spec~4.T_node~0.threshold                                                            0     6     6 
Check_spec~4.T_node~0.valhole_0_0                                                          3     3     3 
Check_spec~4.T_node~0.valhole_1_1                                                          4     4     4 
Check_spec~4.T_node~0.valhole_2_2                                                          3     3     3 
Check_spec~4.T_node~0.valhole_3_3                                                         37    37    37 
Check_spec~4.T_node~0.valhole_4_4                                                         41    41    41 
Check_spec~4.T_node~0.valhole_5_5                                                          5     5     5 
Check_spec~4.a                                                                          true false false 
Check_spec~4.b                                                                         false  true  true 
Check_spec~4.c                                                                          true  true  true 
Check_spec~4.k                                                                             1     1     1 
Check_spec~4.level_1_1_hole_7                                                             19    19    19 
Check_spec~4.level_1_hole_6                                                               10    10    10 
Check_spec~4.level_2_hole_8                                                                5     5     5 
Check_spec~4.out                                                                       false  true  true 
Check_spec~4.p1                                                                        false  true  true 
Check_spec~4.step                                                                          0     1     2 
Check_spec~4.stepOK                                                                     true  true  true 
Check_spec~4.threshold                                                                     0     6     6 
Check_spec~4.valhole_0_0                                                                   3     3     3 
Check_spec~4.valhole_1_1                                                                   4     4     4 
Check_spec~4.valhole_2_2                                                                   3     3     3 
Check_spec~4.valhole_3_3                                                                  37    37    37 
Check_spec~4.valhole_4_4                                                                  41    41    41 
Check_spec~4.valhole_5_5                                                                   5     5     5 
Check_spec~5.H_discovery~0.in                                                           true  true  true 
Check_spec~5.H_discovery~0.out                                                          true  true  true 
Check_spec~5.T_node~0.a                                                                 true  true  true 
Check_spec~5.T_node~0.b                                                                false  true  true 
Check_spec~5.T_node~0.c                                                                false false false 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.a0                       true  true  true 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.a1                      false  true  true 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.a2                      false false false 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.a3                      false  true  true 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_0           true  true  true 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_1          false  true  true 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_2           true  true  true 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_3          false  true  true 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_4          false  true  true 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_5          false false false 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_1_0          false  true  true 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_1_1           true false false 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_2_0           true  true  true 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.level_1_1_hole_7           19    19    19 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.level_1_hole_6             10    10    10 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.level_2_hole_8              5     5     5 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.out                      true  true  true 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_0_0                 3     3     3 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_1_1                 4     4     4 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_2_2                 3     3     3 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_3_3                37    37    37 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_4_4                41    41    41 
Check_spec~5.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.valhole_5_5                 5     5     5 
Check_spec~5.T_node~0.level_1_1_hole_7                                                    19    19    19 
Check_spec~5.T_node~0.level_1_hole_6                                                      10    10    10 
Check_spec~5.T_node~0.level_2_hole_8                                                       5     5     5 
Check_spec~5.T_node~0.out                                                              false  true  true 
Check_spec~5.T_node~0.p1                                                                true  true  true 
Check_spec~5.T_node~0.threshold                                                            5     6     6 
Check_spec~5.T_node~0.valhole_0_0                                                          3     3     3 
Check_spec~5.T_node~0.valhole_1_1                                                          4     4     4 
Check_spec~5.T_node~0.valhole_2_2                                                          3     3     3 
Check_spec~5.T_node~0.valhole_3_3                                                         37    37    37 
Check_spec~5.T_node~0.valhole_4_4                                                         41    41    41 
Check_spec~5.T_node~0.valhole_5_5                                                          5     5     5 
Check_spec~5.a                                                                          true  true  true 
Check_spec~5.b                                                                         false  true  true 
Check_spec~5.c                                                                         false false false 
Check_spec~5.k                                                                             1     1     1 
Check_spec~5.level_1_1_hole_7                                                             19    19    19 
Check_spec~5.level_1_hole_6                                                               10    10    10 
Check_spec~5.level_2_hole_8                                                                5     5     5 
Check_spec~5.out                                                                       false  true  true 
Check_spec~5.p1                                                                        false  true  true 
Check_spec~5.step                                                                          0     1     2 
Check_spec~5.stepOK                                                                     true  true  true 
Check_spec~5.threshold                                                                     5     6     6 
Check_spec~5.valhole_0_0                                                                   3     3     3 
Check_spec~5.valhole_1_1                                                                   4     4     4 
Check_spec~5.valhole_2_2                                                                   3     3     3 
Check_spec~5.valhole_3_3                                                                  37    37    37 
Check_spec~5.valhole_4_4                                                                  41    41    41 
Check_spec~5.valhole_5_5                                                                   5     5     5 
Check_spec~6.H_discovery~0.in                                                           true  true  true 
Check_spec~6.H_discovery~0.out                                                          true  true  true 
Check_spec~6.T_node~0.a                                                                false false false 
Check_spec~6.T_node~0.b                                                                false  true  true 
Check_spec~6.T_node~0.c                                                                false  true  true 
Check_spec~6.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.a0                      false false false 
Check_spec~6.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.a1                      false  true  true 
Check_spec~6.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.a2                      false  true  true 
Check_spec~6.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.a3                      false false false 
Check_spec~6.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_0          false false false 
Check_spec~6.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_1          false  true  true 
Check_spec~6.T_node~0.discover_binary_Bool_4_Int_0_Depth_2_0~0.bExprlevel_0_2          false false false 
